2025-01-01 00:00, 0.0 hours
2025-01-01 01:00, 0.0 hours
2025-01-01 02:00, 0.0 hours
2025-01-01 03:00, 0.0 hours
2025-01-01 04:00, 0.0 hours
2025-01-01 05:00, 0.0 hours
2025-01-01 06:00, 0.0 hours
2025-01-01 07:00, 0.0 hours
2025-01-01 08:00, 0.0 hours
2025-01-01 09:00, 0.0 hours
2025-01-01 10:00, 0.0 hours
2025-01-01 11:00, 0.0 hours
2025-01-01 12:00, 0.0 hours
2025-01-01 13:00, 0.0 hours
2025-01-01 14:00, 0.0 hours
2025-01-01 15:00, 0.2699999999999999 hours
2025-01-01 16:00, 0.9490000000000011 hours
2025-01-01 17:00, 1.0020000000000013 hours
2025-01-01 18:00, 0.3395999999999999 hours
2025-01-01 19:00, 0.0807 hours
2025-01-01 20:00, 0.6095000000000002 hours
2025-01-01 21:00, 1.0020000000000013 hours
2025-01-01 22:00, 0.9992000000000013 hours
2025-01-01 23:00, 0.5678000000000001 hours
